,eventClass,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
3,M,Tropical Cyclone,Typhoon Narsing,1997-10-25 00:00:00,,,CAR|Region 2|Region 3,Severe Weather|Flood (General),PAG-ASA,,,,,,870,14,8,2,49048,243896,,,1779,13771,188.935,252.842,,,,,,,,,,,,,,,,,,,,,,,,,,,1997 Disasters_1997_OCD.NDCC.Report_07May18_LitCC,,,,1997-10-25,1997-10-25,cefeb2c9caf44ba7b967e1ddea750b9d
4,M,Tropical Cyclone,Typhoon Ibiang,"August 18-19, 1997",,,NCR|Central Luzon,Severe Weather|Flood (General)|Lahar ,PAG-ASA,,,,,,1801,36,11,2,304327,1521125,32837,136410,272,6379,172478,280694,,,,,,,,,,,,,7176888.4,"3,641 canned goods, 7,282 kilos of rice, 1079 sacks of rice, Assorted Goods",,,,,1000000,Assorted Medicines,,,,,,,1997 Disasters_1997_OCD.NDCC.Report_07May18_LitCC,,,,1997-08-18,1997-08-19,6e3f3cd2c7014efeb440597cbcae70b5
5,M,Earthquake (Ground Movement),Earthquake of 1999,1999-12-12 00:00:00,16.0060° N,120.2397°E,"Lingayen, Pangasinan",,"PHILVOLCS, NDCC, OCD, DPWH",,,,NDCC,,16,5,40,,87,356,,,49,,,,1.785 M (Pangasinan only),,,,,,,,,,,,,,,,,,,,,,,,,,Earthquake.Manila.12Dec.1999.OCD.NDCC.Report.VillanuevaSB,,,,1999-12-12,1999-12-12,8d952b9a9979478c8b7eaaef3828a3c8
6,M,Volcanic Activity (General),Mt. Pinatubo Eruption,1991-06-15 00:00:00,15.1429° N,120.3496°E,Tarlac|Zambales|Pampanga,Lahar|Ground Movement|Epidemic|Ashfall,PHILVOCS via QRT,"USGS, JICA","Rescue and evacuation operations within 10, 20, 30 and 40-km radius of the volcano",865.0,,,155,850,184,23,249371,1180132,"202, 680",952696,40867,67862,3.832 B,2.096 B,852.200 M,,,,,,,,533.871 M,"DSWD, PNRC, DOH, DOLE, NHA",,,,,,,,,,,,,,,,,Earthquake.Manila.12Dec.1999.OCD.NDCC.Report.VillanuevaSB,,,,1991-06-15,1991-06-15,937dd747e0694843b66762f6a0be19bd
7,M,Tropical Cyclone,Tropical Storm Weng,"Nov 12-15, 2003",,,Region 4-B| Region 4-A|Region 5|Region 6|Region 7|Region 8,Landslide (Wet)|Flood (General),"OCD-OPCEN, DOTC, PCG, PAGASA",,,,Philippine Navy and Coast Guard,,23,11,5,13,91,443,91,443,2,21,24615000,19719500,,Power Blackout / Power Failure,,,Trips postponed during the height of TS Weng,,,,,"DSWD, AFP, DPWH, DA, DOH",,,,,,,,,,,,,,,,,Tropical_Storm_Weng_November_2003,,,,2003-11-12,2003-11-15,3549f7659ea7485481779faaa9868962
8,M,Tropical Cyclone,Typhoon Nitang,"August 31- September 4, 1984",,,Region 4-A|Region 4-B|Region 6|Region 7|Region 8|Region 10,Severe Weather|Flood (General),"OCD-OPCEN, DOTC, PAGASA",,,,,,,1029,2861,464,278488,1686624,353986,1917024,108219,142653,"1,425.8 M","2,062.6 M",597.4 M,Restoration of power lines were hastened,,,,,,,,,,,,,,,,,,,,,,,,,Typhoon.Nitang_31-4.August-September.1984_OCD.NDCC.Report_23April18_SaureDT,,,,1984-08-31,1984-09-04,d1c9c47fa2d34e2c9b12cd84c609237e
9,M,Tropical Cyclone,Typhoon Frank,2008-06-29 00:00:00,,,Region 6,Severe Weather|Flood (General),,,,,,,5140,540,175,41,718457,3622958,50937,276597,76098,225544,1.600 B,5.200 B,,,,,,,,,,"DSWD, DOH",,,,,,,,,,,,,,,,,Typhoon.FrankFengshen.17Jul2008.23July2008.OCD.NDCC.Reports_CadagJD,,,,2008-06-29,2008-06-29,4e5b497f171d436a87bfc4bfb1f3dc13
10,M,Flood (General),Flooding in Quezon and Oriental Mindoro,2005-12-01 00:00:00,,,Quezon|Oriental Mindoro|Camarines Norte,Flood (General)|Landslide,,,,,SOLCOM,,,3,,,42843,192946,1473,7187,29,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man-Made&NaturalIncidents.Vol4_2005_OCD.NDCC.Report_23Apr18_VillanuevaSB,,,,2005-12-01,2005-12-01,679cdfb7b35844dd88d76d40aa940cc0
11,M,Flood (General),Misamis Oriental Flooding Incident,1999-12-23 00:00:00,,,Misamis Oriental,Flood (General)|Landslide (Wet),,,,,,,,8,,,1550,7750,,250,,,,,,,,"Sta Ines Bridge Damaged, Brgy. Jose Bridge totally damaged",,,,,,,,,,,,,,,,,,,,,,,Flooding.Incidents_1999_OCD.NDRRMC.Report_7May2018_GodioJD,,,,1999-12-23,1999-12-23,4db3b910501f4af7866bf21fa4676775
12,M,Flood (General),Flooding in CARAGA 1999,1999-01-01 00:00:00,,,CARAGA,Severe Weather|Landslide (Wet),,,,,,,319,20,2,2,101398,476137,3833,19097,834,,47.599 M,86.077 M,,Power interruption in most affected areas of Butuan,,"San Rafael road collapse, Veruela town isolated, San Jose Bridge collapse, Baan bridge overflowed",,,,,,,,,,,,,,,,,,,,,,,Flooding.Incidents_1999_OCD.NDRRMC.Report_7May2018_GodioJD,,,,1999-01-01,1999-01-01,56f3dfc3b887411782efa597e2272abc
15,M,Viral Disease,Philippine Influenza Epidemic of 1957,April-June 1957,,,City of Manila,,,,,,,,,,,,,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tayback, Matthew; Reyes, A. C. (1957). Philippine Influenza Epidemic of 1957 (Vol. 72). Retrieved from http://www.jstor.org/stable/4589923 ",,,,1957-04-01,1957-06-30,8ec9a2264e224f1faf0c42ae31fd2a1b
16,M,Viral Disease,Philippines in the World of the Influenza Pandemic,1918-1919,,,City of Manila,,,,,,,,,88906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gealogo, F. A. (2009). The Philippines in the World of the Influenza Pandemic of 1918-1919. Philippine Studies, 57(2), 261–292.",,,,1918-01-01,1919-12-31,1c9baba63aee4eedab3e444e8dd26b75
17,M,Bacterial Disease,The Philippines Insurrection and the 1902-4 cholera epidemic,1902-1904,,,City of Manila,,,,,,,,,67444,,,,97488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smallman-Raynor, M., & Cliff, A. (1998). The Philippines insurrection and the 1902–4 cholera epidemic: Part I—Epidemiological diffusion processes in War. Journal of Historical Geography, 1(24), 69–89.;
Smallman-Raynor, M., & Cliff, A. (1998). The Philippines insurrection and the 1902–4 cholera epidemic: Part II—Diffusion patterns in war and peace. Journal of Historical Geography, 2(24), 188–210. 
",,,,1902-01-01,1904-12-31,9b89366f996346dc9791b5c145ab21ee
18,M,Bacterial Disease,The 1961 Cholera Epidemic in Manila,1961,,,City of Manila,,,,,,,,,11,,,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wallace, C. K., Fabie, A. E., Mangubat, O., Velasco, E., Juinio, C., & Phillips, R. A. (1964). The 1961 Cholera Epidemic in Manila, Republic of the Philippines. Bulletin of the World Health Organization (Vol. 30).",,"Ultimate source of cholera in Manila will never be known, although contemporary accounts speculated on its importation with fresh vegetables from Canton, China",,1961-01-01,1961-12-31,8ed4988ed498455e8d6119813d02171d
19,M,Bacterial Disease,Bubonic Plague in Manila,1901-04-01 00:00:00,,,City of Manila,,,,,,,,,91,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry, J. C. (1901). Plague and smallpox in Manila during April, 1901 (Vol. 16).",,,,1901-04-01,1901-04-01,b6f92f1173124381a19679c029fcdc32
20,M,Viral Disease,Smallpox in Manila,1901-04-01 00:00:00,,,City of Manila,,,,,,,,,0,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry, J. C. (1901). Plague and smallpox in Manila during April, 1901 (Vol. 16).",,,,1901-04-01,1901-04-01,5292056a2ae34197a08a6f59f41783b9
22,M,Tropical Cyclone,Typhoon Feria,2-7 July 2001,,,Region I|II|III|IV-A|IV-B|V|VI|VII|VIII|IX|X|CAR|CARAGA|NCR,,,,,,,,4106,188,241,44,415379,1902413,,,12774,39174,1854.1185296,1349.10434744,383.262266,,,,,,,,36178741,"NDCC-OCD, DSWD, LGU, NGO (ABS-CBN Foundation Inc), Other GOs",,275000,,,,,,,,,,,,,,,,,,,2001-07-02,2001-07-07,7e5a157b7bc646e18590ed7b08cd8682
23,M,Riverine Flood,Mt. Parker,1995-09-01 00:00:00,,,"South Cotabato, Region XII",,,,,,,,,34,,23,12381,60853,,,410,287,59,659.5,,,,,,,,,4012000000,,,5168000,,,,,,,,,"""Rehabilitation"" = 67,000,000",,,,,,,,,,1995-09-01,1995-09-01,17b40e14802f4568b510181a58fabe7b
24,M,Flood (General),Floodings,1995,,,Philippines,,,,,,,,,86,2,9,133530,736900,,,12845,64662,229.316,356.558,0.388,,,,,,,,5648000000,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,de6011340e5946f4bd2256f15c25670f
25,M,Poisoning,Red Tide,1995,,,"Manila City, NCR",,,,,,,,,,,,11980,56237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,1bb2b415b6bc469b9d21c345cd87130e
26,M,Locust Infestation,Locust Infestation,1995,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,3aa9d5c545aa41af9b8a285d23497d7c
27,M,Landslide (Wet),Landslides,1995,,,Philippines,,,,,,,,,20,5,3,522,2191,,,15,,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,c2570a779a0d4d0088f883b24089d00e
