,id,evacuationPlan,evacuationCenters
6,00c876b564e4429593e79c98d47054de,"Rescue and evacuation operations within 10, 20, 30 and 40-km radius of the volcano",865
45,5db71919fd1d41b8b0a8d25798aaee29,,57
61,d3ad7bc1d62443bba55edd7bb915b8ac,,14
67,bad7ff1a172e4a8688c629c5d99ef83e,MDCC,
118,08d0c4ea5027471a92706bc4a2b09b98,,1
119,d70e78d0cdd045159750e9ef5ad6c7a4,,1
124,ca5d9f6175004457a0cf240d5047bc15,,1
146,4ccf9ceaaf6147e085804ff563bf27c5,,4
148,a4b0d1ed70fb4fbfbda141830f4e28af,,1
177,ca91207055cd492ea83cd58f3e46909f,,99
180,f437ce43e80c4391a8f148c59311ba6a,,115
182,91fd4fc0744e4f76a6440f0fa40a5030,,2
183,cb6b9c2859c3456e9a0578fe5f2816cc,,1
184,8019ca1bd2e34b75a49b492f9093b17e,,12
263,7b2e52e7c1b04b28a808786f7712e5d3,,182
264,8d8758202e9b4bf1b4988558e49d2bbd,,105
265,f5e7ab2fb0034ddd9705b79c916fa1bc,,75
266,f39993a7d918479d906b4cd98d38637b,,15
326,2c06cc7b13b44b27a50bd5f78e215aac,"Locals in 1772 had asked Governor General to relocate their towns of  Cagsawa and Budiao to where Daraga is now, however the plan was not implemented.",
328,669bdc48be864c83b39e0740ac62bffd,"1950 Recommendations: Permanent evacuation within 2 km from crater especially Sitios of Itum, Kanangkaan, Ilihan, Catubli, and Sibato. Temporary evacuation beyon 2 km of NE quadrant of the volcano.",
347,20f3bfbe9a9c479a8ec420c91ff02625,Evacuation of Families in Surigao del Sur,4
375,49a2e62dbea94a26b58ff9e29d51f2a5,AFP-JOC directed the LGUs covered by the path of typhoon Iliang including Metro Manila to activate their respective evacuation centers.,169
376,00b6e227825642d8bb1e97f4808e4e3c,,335
378,cbc0b93750204a1e8f72be7cf78d2253,,84
381,534689cb8a0d437c942fceea40d296a5,,65
430,4bb7edbc36604db9a6797f46cc1c302f,,26
432,2c254653ddc649c296246721b4ba531c,,2
433,403b4c8f65be40afbcdc20849e30c453,,7
437,7516df13ffe548c393af0d9fd1db7744,,22
442,c1a6f387af234eae80e5cb339ef5c446,,143
463,beddd086de47458f92f46c3702c7682b,,8
464,add7e8eeab294ce9acee1342213a904f,Coordination with AFP in both rescue and relief operation,310
465,9b417d57bdce446193ed9c69f043cddd,,15
466,7e3c98ac8f704abdaf77aff1f876ca6e,,113
467,ff59bdf6b80841ddabb88e4f0a4d1082,,65
469,d5058e5d62404cfdbd28794d0bf6ed91,,2
479,1a123bf434064fe7a0802a118d4f4a02,,15
480,1bb6129b56f5486db56d9217870c3690,,48
485,68c21b383ae6490a8d6858ff78ebdcb4,,6
487,eb6e1fc2ea184b408d0048cd9c5b1904,,8
491,4d9e8a73028c42f78073772b6b0675b3,,3
503,06081c7176804f0889099c824ca1d77c,,2
507,0bfe7349d5f64aae90dffe46a424782d,,330
509,ca70e37ed92245488f96320cfbe92159,,26
510,b4926f8523174835bc99e8af85d43c64,,6
511,f37c7df418614ff4adf4a7cf24a154b5,,252
512,36b8fd116d3a462c8a02dd999da14cb6,,55
515,57d682933a104751ae7bf37ea758b951,,26
516,1c05086a399e4bd7aadccee643e34189,,45
517,bc7a2548960842678e0583ae7ae3a152,,23
518,ddf1ffe7da9b43f1ab766d3016783292,,10
519,76fe00209e284d6089c368d77ccbe037,,12
520,ebf5669485074cd9a84505f214094a21,,2
522,65cb1ec36bd143579b11428abbcd92a7,,7
523,53f1100dc740468687a7bbfca4042812,,3164
524,0a981d8933704148963a9b193d39f015,,3
528,6857bc8ca30a471abc32af0c838a8234,,22
529,73beff17a7e14c549cf0e4c15a8892b2,,170
535,abe17e25cd6c40a9a7607ccd884f2b78,Offer public prayers or rogativas,
540,8c30c84b94ed43f9970ba0cbd65bdf93,Yes,4
541,62fc54f92c8749e0bf63f3ee07490a12,Yes,812
542,a8381d699a984d21b936183b44722af6,Yes,65
543,95806ebf73544e50b972d210150880b0,Yes,24
544,b0dfe235e83b452e903f4bb9b34f86f0,,9
545,5accd9d4201f45f1a91b93a38530ca22,,25
546,3aaaec3aa3d940c1b6047ce575c27ebf,,31
547,2c1f5adf43ff42269a7703eaadb4d5fe,,0
548,0304d2d7bae4416bb1aae45b7155315d,,12
549,bc49765a383c48c2bf6c8d945b516b8e,,27
550,ee586b1b86ed427f878d5eb4fb9f0e7a,,1216
551,0db75d92fdc142f0bea2fc6bf2c26859,,0
552,4d413efefc344bb8a7124ba0e116947d,,39
553,e9d3863d2d364472a8c2b05d526b027f,,1091
554,d49e8ebe029646e997b41caf2678936c,,1
555,02a0d935613a4110a5a2654deea25b6e,,9
556,b252fec2a56e4cb49d99366285838864,,3215
557,f9e2e02437f34b57bd350580127a0c06,,1
563,1e87e229c1e54f6cb1b44aec24b41fb4,,984
564,44b0d8ad7a334150b151c82d9edacac9,,2
568,6409470a472c42d8941c2956346f2cc5,,6
572,fb5473b3a59143de8319200c0a2c63ce,,981
573,28212eb01b4746dd9d01de8cc67d360a,,2773
575,69e3b9a613b345159c961746b4555ec2,,24
576,3340c53d345a4fba92d1ce8dba6bb26b,,13
577,af4b92cf407e4cd6addbd17b3c8a9962,,5
578,75437b4d5fce42a095f5756d08150fdd,,5
579,97c1da8b996b430988f445cac51d0bee,,80
580,b51272f79f534433a782badf5c0fb2a3,,1406
581,eb07aafc701f4cb6ac6c8d6c48d1dc41,,262
582,fd1a049ffaa1437c9ce14e75808a5c72,,3005
583,9d7d1cc8788945cdaf46f4921a97ce85,,174
584,7cd3794ad6404ff0a122adbdc655c52e,,25
585,59551ec5c933470eaa03c17ef7b2c457,,3
586,62b854f4f4cb4356a9738c3f9bfdb225,,5
587,e8eb0e92ce2646bc906a421ea0f54508,,17
590,463162874635441f82b11115ee6f4751,,14
594,7f854f92a06f4b87be6937fa6d60a222,,12
595,48ccfd5963d648bc8ecef6a457f45f5e,,24
