,id,hasLocation,hasType,sub_id
0,b424bfd8d6ce42acbec623ff4de1c5f4," San Pedro,Laguna|Antipolo City|Rizal|Makati City",Landslide (Wet),1
1,f47ec7d7481b40b1b49ccc1a78736409, Gigmoto|Catanduanes,Storm Surge,1
2,f47ec7d7481b40b1b49ccc1a78736409, Guimba|Nueva Ecija,Tornado,2
3,f47ec7d7481b40b1b49ccc1a78736409, Aurora|Region 3,Water,3
4,f47ec7d7481b40b1b49ccc1a78736409," Poro, Cebu|Pilar, Cebu|San Francisco, Cebu",Water,4
5,f47ec7d7481b40b1b49ccc1a78736409, Cebu City| Camarines Sur| Camarines Norte| Albay,Landslide (Wet),5
6,c9051b45970c40a88dd972abdd39f0ec, Sagay|Camiguin,Flashflood,1
7,c9051b45970c40a88dd972abdd39f0ec, Guinsiliban|Camiguin,Landslide (Wet),2
8,2eec2d184ed44b26bca612e81187d9b6," Ilog, Negros Occidental|Sipalay,Negros Occidental",Flashflood,1
9,4f957c1c8f944d07912e1b200c158ba6," Bakun, Benguet",Landslide (Wet),1
