,id,agencyLGUsPresentPreparedness
3,5bde7275fcb9416a9a4b518f76cb7485,PAG-ASA
4,201e794d3a0f40459725e38471bb3194,PAG-ASA
5,cc7f24fc2d48483f9d3ffaaba3275aef,"PHILVOLCS, NDCC, OCD, DPWH"
6,f5229f795e3d4ed294304bc7c243d7bb,PHILVOCS via QRT
7,a67f6c13810c42a38ee63f7da8627341,"OCD-OPCEN, DOTC, PCG, PAGASA"
8,33efca5510d24ddd80a3371ed7a408e5,"OCD-OPCEN, DOTC, PAGASA"
57,81239a8a7b8c4aaebd7e4e8a1b74c007,"VISCOM, RDCC - Cebu City, AFP-DRTG, DROC, NAVFORCEN, PCG"
78,bb5b066f61b348cd8981a52e7144b127,Basco Seismic Station; Mabuhay Satellite
134,448f1a7e71414bd2be1cb7a23fdddd95,CDCC Tagum 
149,4e666b95e63a44f087a43a0e8625ef62,TF Foxtrot
164,335577ddee4f4beb98cd417615c4cc38,"314th PMG, PNP-SAF"
165,2ba7f1c6b68c4170905e6eda10ab49d4,"37th Inf Batallion, 6th ID"
180,ce7e1458790c4f088df039f2dc075892,NDCC-OCD-OPCEN; PAGASA; AFPDRTF
263,a48b64e8e1994c0e93255d2ccf4bdfc9,"PAGASA, LGU"
264,7905140c94a941499d1747ab9a859dba,"PAGASA, LGU"
265,ec99bb92fae64f48b66b115894461afa,PAGASA
266,6d3772b927be4babbc659c6cf9d681a7,"PAGASA, LGU"
268,fcabbc221f064588971e81192cf4c656,"BFP, CDAG"
285,d9d82bb7cfcd44288729b61220a7a554,PAGASA
286,ec024943ffb149d089f6c43cd362fdcc,PAGASA
289,27312da3117944dab6303569384ecb8d,PAGASA
291,f8086f8764c04d6ea113700388d84b29,PHIVOLCS
292,3e2612547ab844d6972ea550546d34cc,PHIVOLCS
293,969c059a9b834c16bc557587a1c1cd53,PHIVOLCS
294,084427947b25489f86b81271b816a0c3,PHIVOLCS
295,dd5ffa019e4242a39e6c5e3076546ea9,PHIVOLCS
297,4af64748292143c686c3ca9669a3ea78,AFP
301,4649f8bbce814afeb3d32307b6ca5e01,"BFP, CDAG"
318,87d121891d2a43b8a7d4a19ed3b5adaf,PAGASA
326,2763879d6e014865a130fb2defc46c29,Cagsawa Church
327,d391fc7d093d4032b1cec97c343a8b22,"Manila Observatory, Royal Meteorological Society, Bureau of Science"
328,b4daef720b3f47bca7b6a1e97af92dfd,"Committee on Volcanology of the Department of Agriculture and Natural Resources,  Weather Bureau and Bureau of Mines"
329,adb688f2b7444fe5994e5e3c8ee5f5c8,Philippine Volcanological Commission
347,61ccfc99f41b4227a51059397d153edb,"OCDRC CARAGA, COMEASTMINCOM, PDCC, Provincial Validating Team of Surigao"
349,f7cb9e4fe72c471082973d4bc4ec16ab,"NDCC,  "
