,id,rescueEquipment,rescueUnit
5,3f069fbf00df4172985c19bae33aef87,,NDCC
7,8eef0dfb8caa4d32a958e48bcf89f328,,Philippine Navy and Coast Guard
10,b993731711534531bdf9cf8f4abf2b2c,,SOLCOM
45,5db71919fd1d41b8b0a8d25798aaee29,,AFP
52,1f579b92b8074fb7bc99a28422c92bba,,SAR - PN
55,d9a06c62b6bb41dc9327d959b7e2951c,,602 PCG Auxiliary Squadron
56,4b8dab7a56394553b33471f9e3cd5287,"PCG: AE-891. PCTs fast patrol craft; PN: LC-551, PS-19, PG-35, PG-392, PG-393, Helicopter; PAF Helicopter","AE891, PS35, PS19, LCC551, FB Marigold, FB Villaflor, Marine Base Ternate, CGS Corregidor, PNP Maragondon"
57,cd1ad2369c9d453bb93639ed8afe8096,"Military: Nomad aircraft, Bell 205 2 UH-1H, Islander, 1 helicopter PCG; Civilian: MV Dexter, MV Kerr, MV Idago, MV Saint Peter the Apostle, MV Zenaida, MV Indonesia other motorized banca and fishing boat","3ID; 303 Bde and Task Force Panay; 5052nd SAR Group, PAF; 560th CTW, Bantay Dagat civic volunteer group"
58,29b2f6f68ddb47d6964aaefc8789255e,,AFP - PN and PM; DOTC - PCG; RDCC - ARMM; 100 fishermen
59,9c75797765064d59b5fc7d33647f91f3,,"34th IB Rescue Team, MDCC"
63,688eda99b77841bab6f2e989c3afedb2,,Residents
67,bad7ff1a172e4a8688c629c5d99ef83e,,PCG
141,da02219b05db46c2a2cc7c7a764a6ff1,,PCG
145,ffcc687488cb42d1806f72c839f3cd54,"11 BFP firetrucks, 1 EMS van of BFRP","BFP, Volunteer Fire groups"
146,4ccf9ceaaf6147e085804ff563bf27c5,,BFP
148,a4b0d1ed70fb4fbfbda141830f4e28af,,"BFP, CIDAG"
149,bdb913b0ebfc4692913a2639d12090e6,,BFP
150,c1a868ba211f40b0b74f112cdd25f8da,,BFP
151,a622acd1165a42d4b1325375946ef970,,BFP
152,3f82f3bb79824ed4852a89ea831f7d50,,BFP
153,2f87a9f52ec44509b343143c81a6072b,,BFP
155,dd884a777def49f29d541eebdfe171ee,19 fire trucks,
156,48f8f016d9d1413cb07f263cd3dbb5a0,,Cebu City Fire Station
169,e8c0e8a42a634f8abf1ef1e710ea09ed,,"Makati SWAT, PNP, BFP"
180,f437ce43e80c4391a8f148c59311ba6a,PDCC Pangasinan: 1 rubber boat,"AFPDRTF, Local DCC, PDCC Pangasinan"
263,7b2e52e7c1b04b28a808786f7712e5d3,,"NDCC, WESCOM HQ"
264,8d8758202e9b4bf1b4988558e49d2bbd,,"NDCC, VISCOM"
266,f39993a7d918479d906b4cd98d38637b,,NDCC
327,0f8b19d50ed643cbb4cdbf1805f79ad8,Local motorboats of fishermen,
347,20f3bfbe9a9c479a8ec420c91ff02625,,Provincial Validating Team of Surigao del sur
355,bf04003b98904f9396e3d54c8eed5260,"aircrafts, fishing bancas and other shipping vessels, choppers","Philippine Navy, US NAvy, Philippine Air Force, Philippine Coast Guard Zamboanga, Private Maritime Group, PNP, COMMEL"
