incident_id,Page,Region,Province,City_Muni,Barangay,Qty,TYPE_OF_INCIDENT,DATE_OFOCCURENCE,TIME_OFOCCURENCE,DESCRIPTION,ACTIONS_TAKEN,REMARKS,STATUS_for_floodedareas,event_name,hasType,hasLocation
1,3,REGION 1,ILOCOS NORTE,Currimao,Victoria,,Maritime Incident,08 November 2024,02:00 am,"On or about 02:00 AM, 08 November 2024, MV Aries 1 run aground at the shallow sea water of Brgy. Victoria, Currimao, Ilocos Norte due to heavy waves and strong winds brought by TC 'MARCE'.",,,,due to Tropical cyclone MARCE 2024,Water,https://sakuna.ph/Currimao
2,3,REGION 1,ILOCOS NORTE,Currimao,Gaang,,Maritime Incident,08 November 2024,03:00 am,"On or about 03:00am November 8, 2024,LCT Panphil 8 run aground at Brgy. Gaang, Currimao, Ilocos Norte due to heavy waves and strong winds brought by TC 'MARCE'. The anchores of said the vessel were pulled out and dragged to the shallow sea water of the said barangay.",,,,due to Tropical cyclone MARCE 2024,Water,https://sakuna.ph/Currimao
3,4,REGION 1,ILOCOS SUR,Bantay,San Mariano,,Maritime Incident,08 November 2024,09:20 am,"-On 08 November 2024, at about 9:20 AM, a maritime incident occurred at the Abra River Brgy. San Mariano, Bantay, Ilocos Sur. -The victim's family went out on a bamboo raft to search and rescue their goats. While they were in the middle of the river, the raft capsized due to the strong current, causing them to drift away. -A total of 1 injured and 1 missing person were reported.","PNP, BFP and MDRRMC Bantay conducted SRR for to the missing person while the injured victim was brought to Ilocos Sur Provincial Hospital, Tamag Vigan City, Ilocos Sur.",,,due to Tropical cyclone MARCE 2024,Water,https://sakuna.ph/Bantay
4,4,REGION 2,CAGAYAN,Rizal,Cambabangan,,Flooded Areas,07 November 2024,09:00 pm,,,Subsided as of 11/8/2024 17:28,Subsided,due to Tropical cyclone MARCE 2024,FloodGeneral,https://sakuna.ph/Rizal_Cagayan
5,4,REGION 2,CAGAYAN,Rizal,Duyun,,Flooded Areas,08 November 2024,08:48 am,,,,Subsided,due to Tropical cyclone MARCE 2024,FloodGeneral,https://sakuna.ph/Rizal_Cagayan
6,4,REGION 2,CAGAYAN,Rizal,Gaddangao,,Flooded Areas,07 November 2024,11:00 am,3meters,,Subsided as of 11/8/2024 05:33,Subsided,due to Tropical cyclone MARCE 2024,FloodGeneral,https://sakuna.ph/Rizal_Cagayan
7,4,REGION 2,CAGAYAN,Rizal,Illuru Sur,,Flooded Areas,07 November 2024,09:00 pm,,,Subsided as of 11/8/2024 07:00,Subsided,due to Tropical cyclone MARCE 2024,FloodGeneral,https://sakuna.ph/Rizal_Cagayan
8,4,REGION 2,CAGAYAN,Rizal,Masi,,Flooded Areas,07 November 2024,09:00 pm,,,Subsided as of 11/8/2024 06:15,Subsided,due to Tropical cyclone MARCE 2024,FloodGeneral,https://sakuna.ph/Rizal_Cagayan
9,4,REGION 2,CAGAYAN,Rizal,Poblacion,,Flooded Areas,07 November 2024,10:00 pm,1 family affected,,Subsided as of 11/8/2024 08:48,Subsided,due to Tropical cyclone MARCE 2024,FloodGeneral,https://sakuna.ph/Rizal_Cagayan
10,4,REGION 2,CAGAYAN,Buguey,Remebella,,Flooded Areas,07 November 2024,,"229 families affected, below the knee level",,Subsided as of 11/9/2024 12:00,Subsided,due to Tropical cyclone MARCE 2024,FloodGeneral,https://sakuna.ph/Buguey
