,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
3,Tropical Cyclone,Typhoon Narsing,1997-10-25 00:00:00,,,CAR|Region 2|Region 3,Severe Weather|Flood (General),PAG-ASA,,,,,,870,14,8,2,49048,243896,,,1779,13771,188.935,252.842,,,,,,,,,,,,,,,,,,,,,,,,,,,1997 Disasters_1997_OCD.NDCC.Report_07May18_LitCC,,,,1997-10-25,1997-10-25,0dc2f3431e67410fac811e465f4f07a1
4,Tropical Cyclone,Typhoon Ibiang,"August 18-19, 1997",,,NCR|Central Luzon,Severe Weather|Flood (General)|Lahar ,PAG-ASA,,,,,,1801,36,11,2,304327,1521125,32837,136410,272,6379,172478,280694,,,,,,,,,,,,,7176888.4,"3,641 canned goods, 7,282 kilos of rice, 1079 sacks of rice, Assorted Goods",,,,,1000000,Assorted Medicines,,,,,,,1997 Disasters_1997_OCD.NDCC.Report_07May18_LitCC,,,,1997-08-18,1997-08-19,963475cf63b64250b5dc4f25fbd79667
5,Earthquake (Ground Movement),Earthquake of 1999,1999-12-12 00:00:00,16.0060° N,120.2397°E,"Lingayen, Pangasinan",,"PHILVOLCS, NDCC, OCD, DPWH",,,,NDCC,,16,5,40,,87,356,,,49,,,,1.785 M (Pangasinan only),,,,,,,,,,,,,,,,,,,,,,,,,,Earthquake.Manila.12Dec.1999.OCD.NDCC.Report.VillanuevaSB,,,,1999-12-12,1999-12-12,15ae00d306324e528c47d9c0538e4424
6,Volcanic Activity (General),Mt. Pinatubo Eruption,1991-06-15 00:00:00,15.1429° N,120.3496°E,Tarlac|Zambalez|Pampanga,Lahar|Ground Movement|Epidemic|Ashfall,PHILVOCS via QRT,"USGS, JICA","Rescue and evacuation operations within 10, 20, 30 and 40-km radius of the volcano",865,,,155,850,184,23,249371,1180132,"202, 680",952696,40867,67862,3.832 B,2.096 B,852.200 M,,,,,,,,533.871 M,"DSWD, PNRC, DOH, DOLE, NHA",,,,,,,,,,,,,,,,,Earthquake.Manila.12Dec.1999.OCD.NDCC.Report.VillanuevaSB,,,,1991-06-15,1991-06-15,40dc32fe14014413a9584b99922f9beb
7,Tropical Cyclone,Tropical Storm Weng,"Nov 12-15, 2003",,,Region 4|Region 5|Region 6|Region 7|Region 8,Landslide (Wet)|Flood (General),"OCD-OPCEN, DOTC, PCG, PAGASA",,,,Philippine Navy and Coast Guard,,23,11,5,13,91,443,91,443,2,21,24615000,19719500,,Power Blackout / Power Failure,,,Trips postponed during the height of TS Weng,,,,,"DSWD, AFP, DPWH, DA, DOH",,,,,,,,,,,,,,,,,Tropical_Storm_Weng_November_2003,,,,2003-11-12,2003-11-15,a5fb0d36182c430f997176d785391296
8,Tropical Cyclone,Typhoon Nitang,"August 31- September 4, 1984",,,Region 4|Region 6|Region 7|Region 8|Region 10,Severe Weather|Flood (General),"OCD-OPCEN, DOTC, PAGASA",,,,,,,1029,2861,464,278488,1686624,353986,1917024,108219,142653,"1,425.8 M","2,062.6 M",597.4 M,Restoration of power lines were hastened,,,,,,,,,,,,,,,,,,,,,,,,,Typhoon.Nitang_31-4.August-September.1984_OCD.NDCC.Report_23April18_SaureDT,,,,1984-08-31,1984-09-04,79633423a20340fd89fd92f0f21a25d6
9,Tropical Cyclone,Typhoon Frank,2008-06-29 00:00:00,,,Region 6,Severe Weather|Flood (General),,,,,,,5140,540,175,41,718457,3622958,50937,276597,76098,225544,1.600 B,5.200 B,,,,,,,,,,"DSWD, DOH",,,,,,,,,,,,,,,,,Typhoon.FrankFengshen.17Jul2008.23July2008.OCD.NDCC.Reports_CadagJD,,,,2008-06-29,2008-06-29,9f9ad161a5794366b60011221cc8baa9
10,Flood (General),Flooding in Quezon and Oriental Mindoro,2005-12-01 00:00:00,,,Quezon Province|Oriental Mindoro|Camarines Norte,Flood (General)|Landslide|Breaching,,,,,SOLCOM,,,3,,,42843,192946,1473,7187,29,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man-Made&NaturalIncidents.Vol4_2005_OCD.NDCC.Report_23Apr18_VillanuevaSB,,,,2005-12-01,2005-12-01,5b3074417c43479fa93eba5296b63df1
11,Flood (General),Misamis Oriental Flooding Incident,1999-12-23 00:00:00,,,Misamis Oriental,Flood (General)|Landslide (Wet),,,,,,,,8,,,1550,7750,,250,,,,,,,,"Sta Ines Bridge Damaged, Brgy. Jose Bridge totally damaged",,,,,,,,,,,,,,,,,,,,,,,Flooding.Incidents_1999_OCD.NDRRMC.Report_7May2018_GodioJD,,,,1999-12-23,1999-12-23,b8bb0778fea64a5dbed70390a7c45d11
12,Flood (General),Flooding in CARAGA 1999,1999-01-01 00:00:00,,,CARAGA,Severe Weather|Landslide (Wet),,,,,,,319,20,2,2,101398,476137,3833,19097,834,,47.599 M,86.077 M,,Power interruption in most affected areas of Butuan,,"San Rafael road collapse, Veruela town isolated, San Jose Bridge collapse, Baan bridge overflowed",,,,,,,,,,,,,,,,,,,,,,,Flooding.Incidents_1999_OCD.NDRRMC.Report_7May2018_GodioJD,,,,1999-01-01,1999-01-01,f5f47dd2e9ad488081db1c36b6bc0426
